Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_Type,HCPCS_Cd,HCPCS_Desc,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Tot_Sbmtd_Chrg,Tot_Mdcr_Alowd_Amt,Tot_Mdcr_Pymt_Amt,Reimbursement_Rate_Pct,Revenue_Leakage
1063414258,"Boston Scientific Cardiac Diagnostic Services, Llc",,Houston,TX,77038,Independent Diagnostic Testing Facility (IDTF),93229,Electrocardiogram (ecg) up to 30 days continuous with transmission of patient triggered events with review and report by health care professional,O,78230,80114.0,2495.0,1129.7779363,887.46824101,199884430.0,90511029.59,71098630.66,35.57,128785799.34
1326104613,Quest Diagnostics Clinical Laboratories Inc,,Houston,TX,77072,Clinical Laboratory,80061,"Blood test, lipids (cholesterol and triglycerides)",O,125623,177291.0,144.69963619,13.119457051,13.119457051,25653943.2,2325961.66,2325961.66,9.07,23327981.54
1326104613,Quest Diagnostics Clinical Laboratories Inc,,Houston,TX,77072,Clinical Laboratory,80053,"Blood test, comprehensive group of blood chemicals",O,156473,284029.0,88.592549951,10.34928039,10.34928039,25162853.37,2939495.76,2939495.76,11.68,22223357.61
1831551266,Inov8 Surgical At Memorial City,,Houston,TX,77043,Ambulatory Surgical Center,27447,"Replacement of knee joint, both sides of knee",F,196,207.0,98298.58058,9170.4855556,7298.3239614,20347806.18,1898290.51,1510753.06,7.42,18837053.12
1346819992,Ipseity Diagnostics Llc,,Houston,TX,77057,Clinical Laboratory,K1034,"Provision of covid-19 test, nonprescription self-administered and self-collected use, fda approved, authorized or cleared, one test count",O,117168,1627242.0,12.0,11.76,11.76,19526904.0,19136365.92,19136365.92,98.0,390538.08
1326104613,Quest Diagnostics Clinical Laboratories Inc,,Houston,TX,77072,Clinical Laboratory,84443,"Blood test, thyroid stimulating hormone (tsh)",O,103376,143876.0,134.00864967,16.46,16.46,19280628.48,2368198.96,2368198.96,12.28,16912429.52
1942295522,Cherches,Igor,Houston,TX,77030,Neurology,J1569,"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg",O,85,160930.0,116.00497111,44.890365998,35.752355931,18668680.0,7224206.6,5753626.64,30.82,12915053.36
1518344043,"Memorial Hermann Surgery Center Kirby, Llc",,Houston,TX,77030,Ambulatory Surgical Center,66984,Removal of cataract with insertion of prosthetic lens,F,736,1249.0,13854.0,1051.6991994,832.82744596,17303646.0,1313572.3,1040201.48,6.01,16263444.52
1447375282,City Of Houston,,Houston,TX,77002,Ambulance Service Provider,A0429,"Ambulance service, basic life support, emergency transport (bls-emergency)",F,6416,8593.0,1995.3312359,430.21452461,340.0355906,17145881.31,3696833.41,2921925.83,17.04,14223955.48
1740715333,"Altru Diagnostics, Inc",,Houston,TX,77024,Clinical Laboratory,87798,"Detection test by nucleic acid for organism, amplified probe technique",O,8364,187152.0,87.766229108,34.384389587,34.384389587,16425625.31,6435107.28,6435107.28,39.18,9990518.03
1326104613,Quest Diagnostics Clinical Laboratories Inc,,Houston,TX,77072,Clinical Laboratory,82306,Vitamin d-3 level,O,48357,58054.0,257.78172322,29.009500293,29.009500293,14965260.16,1684117.53,1684117.53,11.25,13281142.63
1881679751,Laboratory Corporation Of America,,Houston,TX,77040,Clinical Laboratory,80061,"Blood test, lipids (cholesterol and triglycerides)",O,112951,164142.0,90.610570908,13.097863435,13.097863435,14873000.33,2149909.5,2149909.5,14.46,12723090.83
1942455449,"Hea Gramercy Surgery Center, Pllc",,Houston,TX,77025,Ambulatory Surgical Center,66984,Removal of cataract with insertion of prosthetic lens,F,1350,2056.0,7207.4693093,1042.2578259,828.08608949,14818556.9,2142882.09,1702545.0,11.49,13116011.9
